hyperparameters_size,5
env_name,MiniGrid-Empty-5x5-v0
discount_rate,0.9
learning_rate,0.01
lambda,0.9
n0,10
Episode,Step,Total Reward,q_value_table_length
895,14922,0.919,29
896,14931,0.919,29
897,14940,0.919,29
898,14949,0.919,29
899,14958,0.919,29
900,14967,0.919,29
901,14976,0.919,29
902,14985,0.919,29
903,14994,0.919,29
904,15003,0.919,29
905,15012,0.919,29
906,15021,0.919,29
907,15030,0.919,29
908,15039,0.919,29
909,15048,0.919,29
910,15057,0.919,29
911,15066,0.919,29
912,15075,0.919,29
913,15084,0.919,29
914,15093,0.919,29
915,15102,0.919,29
916,15111,0.919,29
917,15120,0.919,29
918,15129,0.919,29
919,15138,0.919,29
920,15147,0.919,29
921,15156,0.919,29
922,15165,0.919,29
923,15174,0.919,29
924,15183,0.919,29
925,15192,0.919,29
926,15202,0.91,29
927,15211,0.919,29
928,15220,0.919,29
929,15229,0.919,29
930,15238,0.919,29
931,15247,0.919,29
932,15256,0.919,29
933,15265,0.919,29
934,15274,0.919,29
935,15283,0.919,29
936,15292,0.919,29
937,15301,0.919,29
938,15310,0.919,29
939,15319,0.919,29
940,15328,0.919,29
941,15337,0.919,29
942,15346,0.919,29
943,15355,0.919,29
944,15364,0.919,29
945,15373,0.919,29
946,15383,0.91,29
947,15392,0.919,29
948,15401,0.919,29
949,15411,0.91,29
950,15420,0.919,29
951,15429,0.919,29
952,15438,0.919,29
953,15447,0.919,29
954,15456,0.919,29
955,15465,0.919,29
956,15474,0.919,29
957,15483,0.919,29
958,15492,0.919,29
959,15501,0.919,29
960,15510,0.919,29
961,15519,0.919,29
962,15528,0.919,29
963,15537,0.919,29
964,15546,0.919,29
965,15555,0.919,29
966,15565,0.91,29
967,15575,0.91,29
968,15584,0.919,29
969,15593,0.919,29
970,15602,0.919,29
971,15611,0.919,29
972,15620,0.919,29
973,15629,0.919,29
974,15638,0.919,29
975,15647,0.919,29
976,15656,0.919,29
977,15665,0.919,29
978,15674,0.919,29
979,15683,0.919,29
980,15692,0.919,29
981,15701,0.919,29
982,15710,0.919,29
983,15719,0.919,29
984,15728,0.919,29
985,15737,0.919,29
986,15746,0.919,29
987,15755,0.919,29
988,15764,0.919,29
989,15773,0.919,29
990,15782,0.919,29
991,15802,0.82,29
992,15811,0.919,29
993,15820,0.919,29
994,15829,0.919,29
995,15838,0.919,29
996,15847,0.919,29
997,15856,0.919,29
998,15865,0.919,29
999,15874,0.919,29
